Target,MAE,RMSE,AAMI,ME,SDE,BHS,Perc_<5,Perc_<10,Perc_<15
SBP,11.628742833550602,14.973928966032986,Fail,1.7603752104815307,14.910011502387903,D,29.946524064171122,50.80213903743316,72.19251336898395
DBP,11.415873806999327,14.925762874079538,Fail,1.473497855976941,14.89272512552646,D,35.294117647058826,54.54545454545454,71.65775401069519
MAP,11.361541444747843,14.796629166213304,Fail,1.596252680324616,14.749766474509915,D,32.0855614973262,54.01069518716578,71.12299465240642
