Epoch,Train Loss,Train MAE,Val Loss,Val MAE
1,14.926353369548822,1.8675281409245388,6.379591365371431,1.329415730067662
2,14.283164127617125,1.9000708525347862,6.118126807894026,1.4485515202794756
3,14.016148093399728,1.9295229448634348,6.123016016823905,1.4953819274902345
4,13.890447069884866,1.949358513400813,6.122358126299722,1.5080663749149867
5,13.837657096279655,1.9541163292660075,6.098516382489886,1.5080770441464015
6,13.806444854493353,1.9543262241752284,6.095737932409559,1.5185556190354483
7,13.796293416600319,1.9573046143647213,6.102261098793575,1.5247994371822902
8,13.791524668408048,1.9593375427707744,6.091185671942575,1.5194432616233826
9,13.789650898830146,1.9604581875406253,6.100620036465781,1.5278924141611372
10,13.78007103075647,1.9615195139198547,6.103326516492026,1.5306112408638
11,13.779346633109318,1.9615395555071011,6.102153996058873,1.531671154499054
12,13.775337905640814,1.9624753203361658,6.0966588718550545,1.5302054950169155
13,13.770875590622046,1.9607334638097484,6.103057777881622,1.5312793408121381
14,13.7681590584433,1.9603448992322206,6.092519475732531,1.5269949214799063
15,13.774384905578225,1.9580469905950462,6.096536338329315,1.5305519597870962
16,13.770308075437121,1.9644602582712842,6.104254298550742,1.5352978978838239
17,13.769464049369667,1.9642352951560051,6.099517459528787,1.5329017792429243
18,13.767860339705353,1.9635314956592147,6.098515062672751,1.53305025100708
19,13.766441992134046,1.9614107153218263,6.094176365647997,1.5298918042864118
20,13.767142265465608,1.9615427240444596,6.098831808567047,1.5320441382271903
21,13.763412997980787,1.9605608882418104,6.094659033843449,1.5304697700909207
22,13.765271703149104,1.9594847928186891,6.091937378474644,1.5281884670257568
23,13.76534946860781,1.9609720380442917,6.097857310090746,1.5326354861259461
24,13.765765767188588,1.9624858145501203,6.099841356277466,1.53333740064076
25,13.765998834257672,1.9626378360067962,6.0960618700299944,1.5320725151470729
26,13.761913542534895,1.961781373449192,6.097494052137647,1.5331664408956256
27,13.762064134998687,1.9594223225951954,6.092991963454655,1.529897974218641
28,13.759420668243603,1.9583059070975917,6.088830104896,1.524466460091727
29,13.760402594402338,1.9555435211035856,6.095658445358277,1.528055156980242
30,13.75780242871327,1.9553427513997266,6.081915596553258,1.5224255578858512
31,13.758671074156549,1.955147690833754,6.0908918380737305,1.526199415751866
32,13.757173567061212,1.951635666713593,6.091970266614641,1.5279220240456717
33,13.755778877598464,1.9511498205221383,6.08505300964628,1.519076260498592
34,13.754035870740369,1.9468009061874099,6.074887999466488,1.5189045548439026
35,13.749861225201066,1.9384623773538383,6.078417571953365,1.519748774596623
36,13.7574796638671,1.9429426041378337,6.088078851359231,1.5262365290096829
37,13.752851449759902,1.9540396632662245,6.067678013869695,1.5082110251699175
38,13.74487684334919,1.941227162719532,6.048435429164342,1.500570659978049
39,13.742509784212537,1.9333574620022136,6.06654692547662,1.5108962621007647
40,13.73864071536216,1.9300952003260328,6.089840202672141,1.5264976842062814
41,13.737113727885447,1.9196229671976368,6.048399589742933,1.4841539978981018
42,13.738768559352607,1.9327261296047527,6.033471895967211,1.4887385777064732
43,13.732143645073958,1.9197340178641544,6.0614393506731306,1.5027295333998545
44,13.726543141018812,1.9163860340786587,6.068731015069144,1.512167387349265
45,13.727460545339403,1.922229739511089,6.041429122856685,1.4911706226212638
46,13.720649925766477,1.9094207241277026,6.0387775199753895,1.4934247289385114
47,13.726556534979753,1.9165033975224586,6.039163860252925,1.4860385758536203
48,13.72167913169618,1.9089013603842182,6.064287674427033,1.5067218797547477
49,13.715595081353642,1.9132511403150618,6.034611179147448,1.4843923381396702
50,13.714148497125905,1.9068942692629092,6.054236720289503,1.497536735875266
