Target,MAE,RMSE,AAMI,ME,SDE,Perc_<5,Perc_<10,Perc_<15,BHS
SP,17.678270566092475,21.840890809940575,Fail,-0.1732409797547882,21.94805724308907,13.725490196078432,30.392156862745097,55.88235294117647,D
DP,17.22729371047439,21.209436045737206,Fail,-0.10587456774811106,21.31390907628355,16.666666666666664,31.372549019607842,55.88235294117647,D
