Target,MAE,RMSE,AAMI,BHS,Perc_<5,Perc_<10,Perc_<15
SP,16.88912769898222,20.855474564683895,Fail,D,18.08724832214765,33.993288590604024,51.644295302013425
DP,10.638999173998869,13.758889421685549,Fail,D,30.0,57.11409395973154,75.43624161073825
